method,display_name,true_class,pred_class,count
berrymtl_centerdet,BerryMTL-CenterDet (ours),fully_ripe,over_ripe,124
berrymtl_centerdet,BerryMTL-CenterDet (ours),fully_ripe,pink_turns_purple,29
berrymtl_centerdet,BerryMTL-CenterDet (ours),green_immature,fully_ripe,67
berrymtl_centerdet,BerryMTL-CenterDet (ours),green_immature,over_ripe,5
berrymtl_centerdet,BerryMTL-CenterDet (ours),green_immature,pale_pink,17
berrymtl_centerdet,BerryMTL-CenterDet (ours),green_immature,pink_turns_purple,3
berrymtl_centerdet,BerryMTL-CenterDet (ours),over_ripe,fully_ripe,79
berrymtl_centerdet,BerryMTL-CenterDet (ours),over_ripe,green_immature,1
berrymtl_centerdet,BerryMTL-CenterDet (ours),over_ripe,pale_pink,1
berrymtl_centerdet,BerryMTL-CenterDet (ours),over_ripe,pink_turns_purple,7
berrymtl_centerdet,BerryMTL-CenterDet (ours),pale_pink,fully_ripe,1
berrymtl_centerdet,BerryMTL-CenterDet (ours),pale_pink,green_immature,18
berrymtl_centerdet,BerryMTL-CenterDet (ours),pale_pink,over_ripe,1
berrymtl_centerdet,BerryMTL-CenterDet (ours),pale_pink,pink_turns_purple,21
berrymtl_centerdet,BerryMTL-CenterDet (ours),pink_turns_purple,fully_ripe,27
berrymtl_centerdet,BerryMTL-CenterDet (ours),pink_turns_purple,green_immature,5
berrymtl_centerdet,BerryMTL-CenterDet (ours),pink_turns_purple,over_ripe,6
berrymtl_centerdet,BerryMTL-CenterDet (ours),pink_turns_purple,pale_pink,14
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),fully_ripe,green_immature,37
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),fully_ripe,over_ripe,151
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),fully_ripe,pale_pink,1
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),fully_ripe,pink_turns_purple,17
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),green_immature,fully_ripe,47
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),green_immature,over_ripe,9
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),green_immature,pale_pink,16
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),green_immature,pink_turns_purple,6
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),over_ripe,fully_ripe,63
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),over_ripe,green_immature,2
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),over_ripe,pale_pink,1
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),over_ripe,pink_turns_purple,8
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pale_pink,fully_ripe,1
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pale_pink,green_immature,16
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pale_pink,over_ripe,1
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pale_pink,pink_turns_purple,25
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pink_turns_purple,fully_ripe,25
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pink_turns_purple,green_immature,3
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pink_turns_purple,over_ripe,10
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),pink_turns_purple,pale_pink,15
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),fully_ripe,green_immature,39
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),fully_ripe,over_ripe,153
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),fully_ripe,pale_pink,1
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),fully_ripe,pink_turns_purple,14
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),green_immature,fully_ripe,45
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),green_immature,over_ripe,19
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),green_immature,pale_pink,13
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),green_immature,pink_turns_purple,2
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),over_ripe,fully_ripe,63
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),over_ripe,green_immature,1
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),over_ripe,pale_pink,2
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),over_ripe,pink_turns_purple,5
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pale_pink,fully_ripe,2
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),pale_pink,green_immature,21
